,By,Bz,PC1,PC2,PC3,PC4,SML,cpcp,hour,time,hourbin,event
0,-1.6699999570846558,3.4200000762939453,64653.00407653798,-160358.8253177356,-47353.41743564888,39646.871925492844,-116.0,32.291413009537614,-1.2,2008-02-11 08:00:00,-1.25,1
1,-3.180000066757202,2.9200000762939453,102649.64029099765,-185430.39610061626,-45396.21133338764,3023.915222104419,-125.0,29.96010723114059,-1.1166666666666667,2008-02-11 08:05:00,-1.0,1
2,-3.4100000858306885,2.75,161835.46955423855,-166707.53638095572,-19485.696442913577,-6327.593162064672,-94.0,26.91893918225017,-1.0333333333333334,2008-02-11 08:10:00,-1.0,1
3,-2.0299999713897705,2.740000009536743,199768.52849232705,-179418.73039403654,-10756.192863968472,-31623.419630159846,-125.0,23.472208686357014,-0.95,2008-02-11 08:15:00,-1.0,1
4,-0.9800000190734863,3.5999999046325684,205430.2494573379,-153430.8632224695,837.9381845665539,-5341.23906150397,-60.0,16.05993895883583,-0.8666666666666667,2008-02-11 08:20:00,-0.75,1
5,-1.9700000286102295,2.7899999618530273,164000.42947353242,-168152.72863576835,-3507.3920106976393,-1415.4325123327556,-60.0,17.826138297352937,-0.7833333333333333,2008-02-11 08:25:00,-0.75,1
6,-1.0399999618530273,1.7200000286102295,199026.70448498594,-149993.6886339132,-5979.7755279125795,-4165.3770809951675,-53.0,16.33287186071552,-0.7,2008-02-11 08:30:00,-0.75,1
7,-0.36000001430511475,0.9100000262260437,217921.26118732351,-153637.97016475385,8227.48972309951,-10762.291474765601,-208.0,14.66120975318118,-0.6166666666666667,2008-02-11 08:35:00,-0.5,1
8,0.17000000178813934,-0.47999998927116394,198457.20058818127,-162027.56820933384,23929.696916462268,-27709.39997319201,-210.0,14.249256344613238,-0.5333333333333333,2008-02-11 08:40:00,-0.5,1
9,-0.550000011920929,-3.3499999046325684,197921.04935333453,-151450.09544464445,29808.295028149503,-27652.938049302466,-217.0,15.308487969874077,-0.45,2008-02-11 08:45:00,-0.5,1
10,-1.9800000190734863,-2.5999999046325684,137790.16606682053,-137079.97531980582,4275.793655250829,21205.512354409842,-293.0,20.770017739797105,-0.36666666666666664,2008-02-11 08:50:00,-0.25,1
11,-3.5399999618530273,0.5600000023841858,109099.53094308468,-75106.41814293321,19333.45898752055,24415.179719484804,-409.0,36.55673376507044,-0.2833333333333333,2008-02-11 08:55:00,-0.25,1
12,1.2599999904632568,-2.440000057220459,72352.55620571162,2822.084004902191,8722.46395174224,8186.179299772385,-406.0,50.661117921257976,-0.2,2008-02-11 09:00:00,-0.25,1
13,2.1700000762939453,-3.6500000953674316,25784.729485885797,50273.26837011302,12977.887610385242,9000.25877431767,-470.0,58.10847277039355,-0.11666666666666667,2008-02-11 09:05:00,0.0,1
14,2.299999952316284,-3.809999942779541,-53757.246887359164,86566.8319553252,-32263.999394388513,3993.1952225623104,-438.0,73.74914421645877,-0.03333333333333333,2008-02-11 09:10:00,0.0,1
15,2.619999885559082,-3.390000104904175,-64703.93874451556,99918.12669339766,-6126.63438940407,-8521.90157960377,-573.0,74.63672676698724,0.05,2008-02-11 09:15:00,0.0,1
16,0.6700000166893005,-1.399999976158142,-3394.1804685375873,88328.50157506265,38355.77344852981,-18097.764245201375,-613.0,62.96021219003075,0.13333333333333333,2008-02-11 09:20:00,0.25,1
17,0.6000000238418579,-0.7799999713897705,2011.5615682084335,81110.67143181225,33203.43988031034,-25099.04730416012,-700.0,58.706729925839426,0.21666666666666667,2008-02-11 09:25:00,0.25,1
18,1.100000023841858,-2.25,17793.764940175748,85040.24348480016,65779.68104959285,-17524.957651001827,-795.0,55.7962868983434,0.3,2008-02-11 09:30:00,0.25,1
19,0.3799999952316284,0.38999998569488525,39203.00997560793,112897.25898118685,83701.15002728309,-16864.67551238313,-852.0,60.142889302087994,0.38333333333333336,2008-02-11 09:35:00,0.5,1
20,0.3799999952316284,0.6600000262260437,55264.06649484827,91754.2149809509,99257.6326411206,-15458.364403577467,-711.0,60.2940436186341,0.4666666666666667,2008-02-11 09:40:00,0.5,1
21,0.03999999910593033,0.05000000074505806,126556.79846652954,72385.83269623158,105715.50588904368,-43761.24052868124,-791.0,59.20361430405864,0.55,2008-02-11 09:45:00,0.5,1
22,0.20999999344348907,-0.07000000029802322,84254.54665120358,90640.66074558471,91946.61269204177,-177.1854648071931,-790.0,56.99900405747984,0.6333333333333333,2008-02-11 09:50:00,0.75,1
23,0.5799999833106995,-2.309999942779541,129299.71713360639,90687.8634776932,82639.51445590075,-11601.681045669335,-614.0,49.836458101591475,0.7166666666666667,2008-02-11 09:55:00,0.75,1
24,0.5299999713897705,-3.0,108879.66203412347,107112.15915880223,60991.4885759345,-19296.58060331426,-610.0,55.28533273140492,0.8,2008-02-11 10:00:00,0.75,1
25,0.949999988079071,-3.859999895095825,37571.74726111364,87988.48626103821,23227.364005329357,-33965.4743891702,-520.0,56.955795096382644,0.8833333333333333,2008-02-11 10:05:00,1.0,1
26,0.9300000071525574,-3.950000047683716,43402.54223405708,79600.03556273576,3484.520185518341,-21423.91565972309,-388.0,56.841321016214835,0.9666666666666667,2008-02-11 10:10:00,1.0,1
27,2.369999885559082,-3.0999999046325684,58275.51890345909,131573.04233275817,-9687.389757683639,209.49262542512326,-298.0,63.32118447677609,1.05,2008-02-11 10:15:00,1.0,1
28,2.9000000953674316,-2.259999990463257,39505.96999539272,134041.45266574604,-3883.587976173762,-3594.844767904241,-359.0,62.02615074367572,1.1333333333333333,2008-02-11 10:20:00,1.25,1
